time,motion,camera
0.00,stop,None
0.10,stop,None
0.19,stop,uav_image_0.18715167045593262.jpg
0.20,stop,None
0.30,stop,None
0.33,stop,uav_image_0.32666826248168945.jpg
0.40,stop,None
0.50,stop,None
0.51,stop,uav_image_0.5059771537780762.jpg
0.60,stop,None
0.67,stop,uav_image_0.6689705848693848.jpg
0.70,stop,None
0.80,stop,None
0.83,stop,uav_image_0.8336586952209473.jpg
0.90,stop,None
1.00,stop,None
1.01,stop,uav_image_1.00654935836792.jpg
1.10,stop,None
1.16,stop,uav_image_1.1643071174621582.jpg
1.20,stop,None
1.30,stop,None
1.33,stop,uav_image_1.3271615505218506.jpg
1.40,stop,None
1.50,stop,uav_image_1.5019230842590332.jpg
1.50,stop,None
1.60,stop,None
1.66,stop,uav_image_1.6632230281829834.jpg
1.70,stop,None
1.80,stop,None
1.83,stop,uav_image_1.8325262069702148.jpg
1.90,stop,None
1.99,stop,uav_image_1.9944417476654053.jpg
2.00,up,None
2.10,up,None
2.16,up,uav_image_2.161813735961914.jpg
2.20,up,None
2.30,up,None
2.34,up,uav_image_2.34334659576416.jpg
2.40,up,None
2.50,up,uav_image_2.4976158142089844.jpg
2.50,up,None
2.60,up,None
2.67,up,uav_image_2.665266513824463.jpg
2.70,up,None
2.80,up,None
2.84,up,uav_image_2.835634708404541.jpg
2.90,up,None
3.00,up,uav_image_3.000162363052368.jpg
3.00,up,None
3.10,up,None
3.14,up,uav_image_3.142197370529175.jpg
3.20,up,None
3.26,up,uav_image_3.261209011077881.jpg
3.30,up,None
3.40,up,uav_image_3.4010846614837646.jpg
3.40,up,None
3.50,up,None
3.53,up,uav_image_3.533135414123535.jpg
3.60,up,None
3.70,up,None
3.73,up,uav_image_3.7289695739746094.jpg
3.80,up,None
3.88,up,uav_image_3.8790853023529053.jpg
3.90,up,None
4.00,up,uav_image_3.9952282905578613.jpg
4.00,up,None
4.10,up,None
4.12,up,uav_image_4.122740268707275.jpg
4.20,up,None
4.26,up,uav_image_4.262601375579834.jpg
4.30,up,None
4.39,up,uav_image_4.387137413024902.jpg
4.40,up,None
4.50,up,None
4.59,up,uav_image_4.586088180541992.jpg
4.60,up,None
4.70,up,uav_image_4.6988584995269775.jpg
4.70,up,None
4.80,up,None
4.86,up,uav_image_4.863176107406616.jpg
4.90,up,None
5.00,up,None
5.04,up,uav_image_5.035639762878418.jpg
5.10,up,None
5.20,up,uav_image_5.199747085571289.jpg
5.20,stop,None
5.30,stop,None
5.38,stop,uav_image_5.383039951324463.jpg
5.40,stop,None
5.50,stop,None
5.53,stop,uav_image_5.52919602394104.jpg
5.60,stop,None
5.70,stop,uav_image_5.69863224029541.jpg
5.70,stop,None
5.80,stop,None
5.87,stop,uav_image_5.870940208435059.jpg
5.90,stop,None
6.00,stop,None
6.04,stop,uav_image_6.036952972412109.jpg
6.10,stop,None
6.20,stop,None
6.22,stop,uav_image_6.220318555831909.jpg
6.30,stop,None
6.37,stop,uav_image_6.371784925460815.jpg
6.40,stop,None
6.50,stop,None
6.54,stop,uav_image_6.535937070846558.jpg
6.60,stop,None
6.65,stop,uav_image_6.647812604904175.jpg
6.70,stop,None
6.76,stop,uav_image_6.761967420578003.jpg
6.80,stop,None
6.89,stop,uav_image_6.893948078155518.jpg
6.90,stop,None
7.00,left,None
7.03,left,uav_image_7.029054164886475.jpg
7.10,left,None
7.15,left,uav_image_7.152813196182251.jpg
7.20,left,None
7.30,left,uav_image_7.2968785762786865.jpg
7.30,left,None
7.40,left,None
7.44,left,uav_image_7.444708824157715.jpg
7.50,left,None
7.57,left,uav_image_7.568681478500366.jpg
7.60,left,None
7.70,left,uav_image_7.698409557342529.jpg
7.70,left,None
7.80,left,None
7.87,left,uav_image_7.8661932945251465.jpg
7.90,left,None
8.00,left,None
8.02,left,uav_image_8.020450353622437.jpg
8.10,left,None
8.20,left,None
8.23,left,uav_image_8.232008934020996.jpg
8.30,left,None
8.38,left,uav_image_8.378205060958862.jpg
8.40,left,None
8.50,left,None
8.53,left,uav_image_8.530614137649536.jpg
8.60,left,None
8.70,left,uav_image_8.697860479354858.jpg
8.70,left,None
8.80,left,None
8.87,left,uav_image_8.871014833450317.jpg
8.90,left,None
9.00,left,None
9.03,left,uav_image_9.031301259994507.jpg
9.10,left,None
9.20,left,uav_image_9.202457427978516.jpg
9.20,left,None
9.30,stop,None
9.38,stop,uav_image_9.378196954727173.jpg
9.40,stop,None
9.50,stop,None
9.53,stop,uav_image_9.526365518569946.jpg
9.60,stop,None
9.65,stop,uav_image_9.645242691040039.jpg
9.70,stop,None
9.77,stop,uav_image_9.765997886657715.jpg
9.80,stop,None
9.90,stop,None
9.92,stop,uav_image_9.918291091918945.jpg
10.00,stop,None
10.07,stop,uav_image_10.069047451019287.jpg
10.10,stop,None
10.20,stop,None
10.23,stop,uav_image_10.226835012435913.jpg
10.30,stop,None
10.36,stop,uav_image_10.360695600509644.jpg
10.40,stop,None
10.50,stop,None
10.54,stop,uav_image_10.535197019577026.jpg
10.60,stop,None
10.70,stop,uav_image_10.701525926589966.jpg
10.70,stop,None
10.80,stop,None
10.83,stop,uav_image_10.831178665161133.jpg
10.90,stop,None
10.98,stop,uav_image_10.984777927398682.jpg
11.00,stop,None
11.10,stop,None
11.11,stop,uav_image_11.109811782836914.jpg
11.20,stop,None
11.26,stop,uav_image_11.261069297790527.jpg
11.30,stop,None
11.40,stop,uav_image_11.395567178726196.jpg
11.40,stop,None
11.50,stop,None
11.53,stop,uav_image_11.532459020614624.jpg
11.60,stop,None
11.66,stop,uav_image_11.662636756896973.jpg
11.70,stop,None
11.80,stop,uav_image_11.797794103622437.jpg
11.80,stop,None
11.90,stop,None
11.93,stop,uav_image_11.932252883911133.jpg
12.00,up,None
12.07,up,uav_image_12.06574559211731.jpg
12.10,up,None
12.20,up,uav_image_12.202147006988525.jpg
12.20,up,None
12.30,up,None
12.34,up,uav_image_12.340222597122192.jpg
12.40,up,None
12.47,up,uav_image_12.467007637023926.jpg
12.50,up,None
12.60,up,uav_image_12.596246242523193.jpg
12.60,up,None
12.70,up,None
12.73,up,uav_image_12.730353355407715.jpg
12.80,up,None
12.90,up,None
12.91,up,uav_image_12.911805868148804.jpg
13.00,up,None
13.07,up,uav_image_13.070914268493652.jpg
13.10,up,None
13.20,up,uav_image_13.201682329177856.jpg
13.20,up,None
13.30,up,None
13.36,up,uav_image_13.356547594070435.jpg
13.40,up,None
13.50,up,uav_image_13.496859312057495.jpg
13.50,up,None
13.60,up,None
13.63,up,uav_image_13.633641004562378.jpg
13.70,up,None
13.77,up,uav_image_13.771832942962646.jpg
13.80,up,None
13.90,up,uav_image_13.896276473999023.jpg
13.90,up,None
14.00,up,None
14.06,up,uav_image_14.06193208694458.jpg
14.10,up,None
14.20,up,None
14.21,up,uav_image_14.205549001693726.jpg
14.30,up,None
14.33,up,uav_image_14.331554174423218.jpg
14.40,up,None
14.47,up,uav_image_14.465024709701538.jpg
14.50,stop,None
14.59,stop,uav_image_14.594269514083862.jpg
14.60,stop,None
14.70,stop,None
14.73,stop,uav_image_14.727144718170166.jpg
14.80,stop,None
14.90,stop,uav_image_14.904512405395508.jpg
14.90,stop,None
15.00,stop,None
15.07,stop,uav_image_15.06580638885498.jpg
15.10,stop,None
15.20,stop,None
15.21,stop,uav_image_15.206698417663574.jpg
15.30,stop,None
15.33,stop,uav_image_15.326488256454468.jpg
15.40,stop,None
15.46,stop,uav_image_15.463015794754028.jpg
15.50,stop,None
15.59,stop,uav_image_15.594980001449585.jpg
15.60,stop,None
15.70,stop,None
15.73,stop,uav_image_15.734786748886108.jpg
15.80,stop,None
15.90,stop,uav_image_15.902915716171265.jpg
15.90,stop,None
16.00,stop,None
16.08,stop,uav_image_16.078006744384766.jpg
16.10,stop,None
16.20,stop,None
16.26,stop,uav_image_16.258870840072632.jpg
16.30,stop,None
16.39,stop,uav_image_16.39392638206482.jpg
16.40,stop,None
16.50,stop,None
16.57,stop,uav_image_16.569512128829956.jpg
16.60,stop,None
16.70,stop,None
16.73,stop,uav_image_16.73082661628723.jpg
16.80,stop,None
16.90,stop,uav_image_16.897693634033203.jpg
16.90,stop,None
17.00,stop,None
17.06,stop,uav_image_17.06107234954834.jpg
17.10,right,None
17.20,right,uav_image_17.20465350151062.jpg
17.20,right,None
17.30,right,None
17.33,right,uav_image_17.332151651382446.jpg
17.40,right,None
17.47,right,uav_image_17.467904567718506.jpg
17.50,right,None
17.60,right,uav_image_17.596219062805176.jpg
17.60,right,None
17.70,right,None
17.73,right,uav_image_17.72977566719055.jpg
17.80,right,None
17.90,right,uav_image_17.90162944793701.jpg
17.90,right,None
18.00,right,None
18.07,right,uav_image_18.065446615219116.jpg
18.10,right,None
18.20,right,None
18.21,right,uav_image_18.208566427230835.jpg
18.30,right,None
18.39,right,uav_image_18.394161224365234.jpg
18.40,right,None
18.50,right,None
18.51,right,uav_image_18.511706352233887.jpg
18.60,right,None
18.63,right,uav_image_18.63113045692444.jpg
18.70,right,None
18.76,right,uav_image_18.76290273666382.jpg
18.80,right,None
18.90,right,uav_image_18.89931559562683.jpg
18.90,right,None
19.00,right,None
19.07,right,uav_image_19.065018892288208.jpg
19.10,right,None
19.20,right,None
19.21,right,uav_image_19.205992460250854.jpg
19.30,stop,None
19.33,stop,uav_image_19.329709768295288.jpg
19.40,stop,None
19.46,stop,uav_image_19.46398615837097.jpg
19.50,stop,None
19.60,stop,uav_image_19.59758758544922.jpg
19.60,stop,None
19.70,stop,None
19.73,stop,uav_image_19.73041343688965.jpg
19.80,stop,None
19.90,stop,uav_image_19.897770881652832.jpg
19.90,stop,None
20.00,stop,None
20.07,stop,uav_image_20.06621551513672.jpg
20.10,stop,None
20.19,stop,uav_image_20.194824934005737.jpg
20.20,stop,None
20.30,stop,None
20.33,stop,uav_image_20.32928729057312.jpg
20.40,stop,None
20.47,stop,uav_image_20.471300840377808.jpg
20.50,stop,None
20.60,stop,uav_image_20.60236692428589.jpg
20.60,stop,None
20.70,stop,None
20.77,stop,uav_image_20.76744270324707.jpg
20.80,stop,None
20.90,stop,uav_image_20.899153470993042.jpg
20.90,stop,None
21.00,stop,None
21.03,stop,uav_image_21.029968976974487.jpg
21.10,stop,None
21.16,stop,uav_image_21.16140604019165.jpg
21.20,stop,None
21.30,stop,uav_image_21.302300691604614.jpg
21.30,stop,None
21.40,stop,None
21.43,stop,uav_image_21.42764115333557.jpg
21.50,stop,None
21.59,stop,uav_image_21.587137460708618.jpg
21.60,stop,None
21.70,stop,uav_image_21.699437379837036.jpg
21.70,stop,None
21.80,stop,None
21.83,stop,uav_image_21.828294038772583.jpg
21.90,stop,None
21.97,stop,uav_image_21.966524362564087.jpg
22.00,stop,None
22.10,stop,uav_image_22.096182823181152.jpg
22.10,down,None
22.20,down,None
22.23,down,uav_image_22.2258882522583.jpg
22.30,down,None
22.40,down,None
22.41,down,uav_image_22.41230010986328.jpg
22.50,down,None
22.54,down,uav_image_22.53568410873413.jpg
22.60,down,None
22.67,down,uav_image_22.668497562408447.jpg
22.70,down,None
22.80,down,uav_image_22.802976369857788.jpg
22.80,down,None
22.90,down,None
22.93,down,uav_image_22.926520109176636.jpg
23.00,down,None
23.10,down,None
23.12,down,uav_image_23.120047569274902.jpg
23.20,down,None
23.24,down,uav_image_23.240727186203003.jpg
23.30,down,None
23.36,down,uav_image_23.36081337928772.jpg
23.40,down,None
23.50,down,uav_image_23.50146770477295.jpg
23.50,down,None
23.60,down,None
23.63,down,uav_image_23.634581565856934.jpg
23.70,down,None
23.77,down,uav_image_23.76682686805725.jpg
23.80,down,None
23.90,down,None
23.93,down,uav_image_23.933029174804688.jpg
24.00,down,None
24.06,down,uav_image_24.058743715286255.jpg
24.10,down,None
24.20,down,uav_image_24.20380210876465.jpg
24.20,down,None
24.30,down,None
24.34,down,uav_image_24.341967344284058.jpg
24.40,down,None
24.46,down,uav_image_24.463252305984497.jpg
24.50,down,None
24.60,down,uav_image_24.595476150512695.jpg
24.60,down,None
24.70,down,None
24.77,down,uav_image_24.76556158065796.jpg
24.80,down,None
24.90,down,None
24.94,down,uav_image_24.94013738632202.jpg
25.00,down,None
25.10,down,uav_image_25.100076913833618.jpg
25.10,down,None
25.20,down,None
25.24,down,uav_image_25.238589763641357.jpg
25.30,down,None
25.37,down,uav_image_25.368699312210083.jpg
25.40,down,None
25.50,down,None
25.53,down,uav_image_25.527291774749756.jpg
25.60,down,None
25.67,down,uav_image_25.668817281723022.jpg
25.70,down,None
25.79,down,uav_image_25.794813632965088.jpg
25.80,down,None
25.90,down,None
25.93,down,uav_image_25.933176517486572.jpg
26.00,down,None
26.10,down,uav_image_26.099207162857056.jpg
26.10,down,None
26.20,down,None
26.24,down,uav_image_26.237797260284424.jpg
26.30,down,None
26.37,down,uav_image_26.369995594024658.jpg
26.40,stop,None
26.49,stop,uav_image_26.49437975883484.jpg
26.50,stop,None
26.60,stop,None
26.63,stop,uav_image_26.629246711730957.jpg
26.70,stop,None
26.76,stop,uav_image_26.761111974716187.jpg
26.80,stop,None
26.90,stop,None
26.93,stop,uav_image_26.934878826141357.jpg
27.00,stop,None
27.10,stop,None
27.12,stop,uav_image_27.116488695144653.jpg
27.20,stop,None
27.24,stop,uav_image_27.23962903022766.jpg
27.30,stop,None
27.40,stop,None
27.43,stop,uav_image_27.427996158599854.jpg
27.50,stop,None
27.59,stop,uav_image_27.593247890472412.jpg
27.60,stop,None
27.70,stop,None
27.76,stop,uav_image_27.761348009109497.jpg
27.80,stop,None
27.90,stop,None
27.93,stop,uav_image_27.928207635879517.jpg
28.00,stop,None
28.10,stop,uav_image_28.098330974578857.jpg
28.10,stop,None
28.20,stop,None
28.24,stop,uav_image_28.243186950683594.jpg
28.30,stop,None
28.40,stop,None
28.43,stop,uav_image_28.429404497146606.jpg
28.50,stop,None
28.60,stop,uav_image_28.596614599227905.jpg
28.60,stop,None
28.70,stop,None
28.73,stop,uav_image_28.726288557052612.jpg
28.80,stop,None
28.87,stop,uav_image_28.86620259284973.jpg
28.90,stop,None
29.00,stop,uav_image_28.99844193458557.jpg
29.00,stop,None
29.10,stop,None
29.13,stop,uav_image_29.134395837783813.jpg
29.20,stop,None
29.30,stop,None
